"숨김","비건옵션","행정구역1","행정구역2","이름","업태","인스타","홈페이지","트위터","소개","주소","휠체어접근","전화번호","영업시간","","","","","","","","","","","","","","",""
"","?","강원도","평창군","난다나빵집","베이커리, 카페","","","","","강원도 평창군 진부면 오산대로 374-8 월정사","","033-339-6648","09:00~18:00","","","","","","","","","","","","","","",""
"","N","강원도","","러빙헛 춘천점","식당","","","","","강원 춘천시 동면 순환대로 1154-42","","033-252-2057","매일 12:00~21:00(일요일 휴무)","","","","","","","","","","","","","","",""
"","?","강원도","속초","루루흐","베이커리, 카페","cafe_ruruq","","","","강원도 속초시 만천1길 38 1층","","070-4228-2019","화요일 11:00 - 21:00 last order 20:00, 동반 4인까지 입장 가능 / 수요일 휴무 /
목요일 휴무금요일 11:00 - 19:00*동반 4인까지 입장 가능 /
토요일 11:00 - 19:00*동반 4인까지 입장 가능 / 일요일 11:00 - 19:00*동반 4인까지 입장 가능 /
월요일 11:00 - 19:00*동반 4인까지 입장 가능","","","","","","","","","","","","","","",""
"","N","강원도","평창군","자용스님의 스미타","사찰음식","","","","","강원도 평창군 진부면 오대산로 152 7동 2호","","033-333-5311","매일 11:30~20:30","","","","","","","","","","","","","","",""
"","?","강원도","원주","카페미쁘다","베이커리, 카페","cafe__mippeuda","","","","강원 원주시 한지공원길 94-21","","010-9484-9372","매일 11:00~00:00","","","","","","","","","","","","","","",""
"","N","강원도","춘천","풀내음","한식","","","","","강원 춘천시 신북읍 상천3길 36","","033-241-0049","09:00~15:00 (명절 연휴 휴무)","","","","","","","","","","","","","","",""
"","?","경기도 남부","고양","공존베이크샵","베이커리, 카페","gongzone_bakeshop","https://blog.naver.com/simdume","","","경기 고양시 덕양구 동산2로 29 1층 102호","","010-9164-4587","목요일, 금요일 14:00~ / 토요일 13:00~","","","","","","","","","","","","","","",""
"","?","경기도 남부","부천","세컨드브리즈","베이커리, 카페","secondbreeze_vegan","
http://blog.naver.com/secondbreeze_vegan","","","경기 부천시 석천로16번길 71","","070-8230-7719","매일 12:00~20:00 / 매주 화요일, 마지막주 월화휴무
일요일 11:00~19:00","","","","","","","","","","","","","","",""
"","?","경기도 남부","파주","띵크그린카페","베이커리, 카페","thinkgreencafe","","","","경기 파주시 탄현면 헤이리마을길 93-75 더스텝 바람 B동 207~217호","","031-943-9713","매일 10:00~19:00 (월요일정기휴무)","","","","","","","","","","","","","","",""
"","N","경기도 북부","과천","러빙헛 채식뷔페","뷔페","","http://blog.naver.com/lovinghutjuam","","평일 저녁은 돌잔치, 칠순잔치, 각종모임 등 10명 이상시 오픈, 주차완비","경기 과천시 죽바위로 37-24","","02-502-8858","평일 12:00~20:30 평일디너 18시까지 예약시 식사 가능(미예약시 식사 불가)(12월 휴무: 매주 월요일 휴무)
Break time 15:00 ~ 18:00","","","","","","","","","","","","","","",""
"","N","경기도 북부","군포","몽가타","퓨전요리","mangata.avr","","","","경기 군포시 산본로323번길 16-12","","031-396-7942","화, 수, 목, 일요일 12:00 - 01:00
금, 토요일 12:00 - 02:00
월요일 휴무","","","","","","","","","","","","","","",""
"","?","경기도 북부","성남","바르미다","베이커리","","","","","경기 성남시 분당구 분당로263번길 39 레이디파크1동101","","031-707-2055","08:30~18:00(일요일휴무)","","","","","","","","","","","","","","",""
"","N","경기도 북부","수원","두수고방","사찰음식","doosoogobang","","","","경기 수원시 영통구 광교호수공원로 80","","031-548-1912","점심 11:30~  (선착순 30인분 한정 판매)
저녁(예약으로 운영) 17:30~21:30(라스트오더 19:00)
(수요일휴무)","","","","","","","","","","","","","","",""
"","N","경기도 북부","수원","뜰안채 채식뷔페","뷔페","","","","","경기 수원시 권선구 칠보로88번길 125","","031-291-5879","12:00 - 21:00 Break time 15:00~18:00
일요일 12:00 - 20:30","","","","","","","","","","","","","","",""
"","?","경기도 북부","수원","오늘도해리","베이커리","today_haeri","m.blog.naver.com/today_haeri","","","경기 수원시 권선구 서수원로 589","","010-3335-2592","09:00 - 19:00(일요일휴무, 월요일 비건베이커리로 운영)","","","","","","","","","","","","","","",""
"","?","경기도 북부","수원","오트밀","베이커리, 카페","oatmeal.cafe","http://instabio.cc/oatmeal","","","경기 수원시 영통구 권선로882번길 31-52","","010-9530-1132","11:00 - 17:00(일, 월, 화요일 휴무)","","","","","","","","","","","","","","",""
"","?","경기도 북부","수원","온 비건베이커리카페","베이커리, 카페","onvegan_bakery","","","","경기 수원시 장안구 경수대로927번길 20","","031-254-1888","11:00 - 18:00(일, 월 휴무/빵완판시 조기마감)","","","","","","","","","","","","","","",""
"","N","경기도 북부","안산","러빙헛 안산고잔점","한식","","","","맛있는 비건채식 도시락 주문 가능합니다   * 주말 농장에서 재배한 유기농 야채 재료를 위주로 사용하고 GMO는 일절 사용하지 않음  * 무료주차장, 연회석 완비","경기 안산시 단원구 다리간3길 17-5 미니빌","","031-475-5205","오전 11시 30분 ~ 오후 9시 토요일 휴무","","","","","","","","","","","","","","",""
"","?","경기도 북부","안산","브레미오","베이커리, 카페","vremio_bakery","","","","경기도 안산시 단원구 고잔로 23-12","","010-8745-8906","09:00 ~ 19:30(토, 일요일휴무)","","","","","","","","","","","","","","",""
"","?","경기도 북부","안양","미오솜","베이커리","miosom","http://we_miosom.blog.me","","비건이 만드는 비건자연먹거리 - nongmo 글루텐프리 / 월 2회 선주문으로만 가능 - 택배 or 매장픽업","경기 안양시 동안구 평촌대로99번길 24","","","","","","","","","","","","","","","","","",""
